epoch,train_loss,val_loss,recall1,recall5,recall10
1,1.975845,1.649574,0.008900,0.034329,0.061666
2,1.434387,1.238831,0.010172,0.051494,0.085188
3,1.223786,1.131278,0.012079,0.059123,0.101081
4,1.116210,1.036499,0.019708,0.069930,0.122060
5,1.041473,0.994190,0.014622,0.071202,0.120788
6,0.980384,0.925420,0.026065,0.085823,0.141767
7,0.924633,0.902260,0.022250,0.082009,0.144310
8,0.892583,0.863340,0.021615,0.090909,0.162111
9,0.840495,0.838332,0.022250,0.094723,0.168468
10,0.815140,0.814625,0.027336,0.097266,0.171647
11,0.800554,0.797405,0.031151,0.115702,0.189447
12,0.766485,0.782779,0.034965,0.115067,0.186904
13,0.728826,0.787052,0.029879,0.109345,0.190718
14,0.712899,0.763070,0.029243,0.123331,0.200890
15,0.698339,0.736611,0.031151,0.130960,0.210426
16,0.675338,0.723018,0.036236,0.141767,0.231405
17,0.653774,0.713732,0.040687,0.133503,0.211062
18,0.647512,0.723266,0.038144,0.135410,0.218690
19,0.619704,0.715709,0.040051,0.131596,0.219326
20,0.611942,0.689518,0.041322,0.139860,0.228226
21,0.608294,0.705242,0.035601,0.148125,0.218055
22,0.586536,0.676899,0.041958,0.145582,0.230134
23,0.578826,0.676078,0.045772,0.155753,0.240941
24,0.565595,0.666898,0.042594,0.150668,0.246662
25,0.552329,0.659927,0.043865,0.155753,0.246662
26,0.541330,0.662223,0.044501,0.151939,0.249841
27,0.539293,0.654329,0.047044,0.171647,0.252384
28,0.534071,0.646146,0.046408,0.174825,0.265099
29,0.522731,0.637575,0.044501,0.166561,0.272092
30,0.515464,0.651167,0.047044,0.174825,0.265099
31,0.511496,0.634542,0.050858,0.176097,0.270820
32,0.493326,0.631587,0.047680,0.175461,0.270184
33,0.488900,0.635282,0.046408,0.174825,0.269549
34,0.483040,0.621630,0.048315,0.182454,0.282899
35,0.490574,0.621879,0.048315,0.191354,0.284170
36,0.479893,0.621643,0.049587,0.187540,0.287349
